EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
8,NORTH,FEMALE,21,False,5.1,35,Hispanic,Other,Manufacturing,True
9,NORTH,FEMALE,42,False,4.95,57,White,Other,Manufacturing,True
12,NORTH,MALE,1,False,6.67,19,White,Other,Manufacturing,False
12,NORTH,MALE,4,False,4.0,22,White,Other,Other,False
12,NORTH,MALE,17,False,7.5,35,White,Other,Other,True
13,NORTH,MALE,9,True,13.07,28,White,Other,Other,False
10,SOUTH,MALE,27,False,4.45,43,White,Other,Other,False
12,NORTH,MALE,9,False,19.47,27,White,Other,Other,False
16,NORTH,MALE,11,False,13.28,33,White,Other,Manufacturing,True
12,NORTH,MALE,9,False,8.75,27,White,Other,Other,False
12,NORTH,MALE,17,True,11.35,35,White,Other,Other,True
12,NORTH,MALE,19,True,11.5,37,White,Other,Manufacturing,False
8,SOUTH,MALE,27,False,6.5,41,White,Other,Other,True
9,SOUTH,MALE,30,True,6.25,45,White,Other,Other,False
9,SOUTH,MALE,29,False,19.98,44,White,Other,Other,True
12,NORTH,MALE,37,False,7.3,55,White,Other,Construction,True
7,SOUTH,MALE,44,False,8.0,57,White,Other,Other,True
12,NORTH,MALE,26,True,22.2,44,White,Other,Manufacturing,True
11,NORTH,MALE,16,False,3.65,33,White,Other,Other,False
12,NORTH,MALE,33,False,20.55,51,White,Other,Other,True
12,NORTH,FEMALE,16,True,5.71,34,White,Other,Manufacturing,True
7,NORTH,MALE,42,True,7.0,55,Other,Other,Manufacturing,True
12,NORTH,MALE,9,False,3.75,27,White,Other,Other,False
11,SOUTH,MALE,14,False,4.5,31,Other,Other,Other,True
12,NORTH,MALE,23,False,9.56,41,White,Other,Other,True
6,SOUTH,MALE,45,False,5.75,57,White,Other,Manufacturing,True
12,NORTH,MALE,8,False,9.36,26,White,Other,Manufacturing,True
10,NORTH,MALE,30,False,6.5,46,White,Other,Other,True
12,NORTH,FEMALE,8,False,3.35,26,White,Other,Manufacturing,True
12,NORTH,MALE,8,False,4.75,26,White,Other,Other,True
14,NORTH,MALE,13,False,8.9,33,White,Other,Other,False
12,SOUTH,FEMALE,46,False,4.0,64,White,Other,Other,False
8,NORTH,MALE,19,False,4.7,33,White,Other,Other,True
17,SOUTH,FEMALE,1,False,5.0,24,White,Other,Other,False
12,NORTH,MALE,19,False,9.25,37,White,Other,Manufacturing,False
12,NORTH,MALE,36,False,10.67,54,Other,Other,Other,False
12,SOUTH,MALE,20,False,7.61,38,Other,Other,Construction,True
12,NORTH,MALE,35,True,10.0,53,Other,Other,Construction,True
12,NORTH,MALE,3,False,7.5,21,White,Other,Other,False
14,SOUTH,MALE,10,False,12.2,30,White,Other,Manufacturing,True
12,NORTH,MALE,0,False,3.35,18,White,Other,Other,False
